date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:46:36	23315/23315	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2013:46:37%20GMT	https://forsyth.itslearning.com/	C:/My%20Web%20Sites/forsyth/forsyth.itslearning.com/index.html	(from )
09:46:36	150/150	---M-Z	200	added ('OK')	text/plain	etag:%2206cfb673efcd51:0%22	https://forsyth.itslearning.com/robots.txt		(from )
09:46:37	38315/38315	---M-Z	200	added ('OK')	text/css	etag:%22a4ae5948ee9bd61:0%22	https://statics.itslearning.com/v3.115.0.528/application/login/index.modern.bundle.css	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/application/login/index.modern.bundle.css	(from https://forsyth.itslearning.com/)
09:46:37	596/596	---M--	200	added ('OK')	image/png	etag:%22502055643efcd51:0%22	https://statics.itslearning.com/v3.115.0.528/touch-icon-iphone.png	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/touch-icon-iphone.png	(from https://forsyth.itslearning.com/)
09:46:37	738/738	---M--	200	added ('OK')	image/png	etag:%2240f954643efcd51:0%22	https://statics.itslearning.com/v3.115.0.528/touch-icon-ipad.png	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/touch-icon-ipad.png	(from https://forsyth.itslearning.com/)
09:46:37	1088/1088	---M--	200	added ('OK')	image/png	etag:%2240f954643efcd51:0%22	https://statics.itslearning.com/v3.115.0.528/touch-icon-iphone-retina.png	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/touch-icon-iphone-retina.png	(from https://forsyth.itslearning.com/)
09:46:38	1369/1369	---M--	200	added ('OK')	image/png	etag:%2240f954643efcd51:0%22	https://statics.itslearning.com/v3.115.0.528/touch-icon-ipad-retina.png	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/touch-icon-ipad-retina.png	(from https://forsyth.itslearning.com/)
09:46:38	15408/15408	---M-Z	200	added ('OK')	application/javascript	etag:%22eabde32bf29bd61:0%22	https://statics.itslearning.com/v3.115.0.528/javascript/Common.js	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/javascript/Common.js	(from https://forsyth.itslearning.com/)
09:46:38	2231/2231	---M-Z	200	added ('OK')	application/javascript	etag:%2218c554fff29bd61:0%22	https://statics.itslearning.com/v3.115.0.528/ui/controls/media/javascript/AC_RunActiveContent.js	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/ui/controls/media/javascript/AC_RunActiveContent.js	(from https://forsyth.itslearning.com/)
09:46:38	9545/9545	---M-Z	200	added ('OK')	application/javascript	etag:%221433f6ddef9bd61:0%22	https://statics.itslearning.com/v3.115.0.528/javascript/onboarding/onboarding.min.js	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/javascript/onboarding/onboarding.min.js	(from https://forsyth.itslearning.com/)
09:46:39	93871/93871	---M-Z	200	added ('OK')	application/javascript	etag:%22803911643efcd51:0%22	https://statics.itslearning.com/v3.115.0.528/javascript/jQuery/jquery-1.7.1/jquery-1.7.1.min.js	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/javascript/jQuery/jquery-1.7.1/jquery-1.7.1.min.js	(from https://forsyth.itslearning.com/)
09:46:39	186033/186033	---MCZ	200	added ('OK')	application/javascript	etag:%22a08711643efcd51:0%22	https://statics.itslearning.com/v3.115.0.528/javascript/jQuery/jquery-1.7.1/jquery-ui-1.11.4.custom.min.js	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/javascript/jQuery/jquery-1.7.1/jquery-ui-1.11.4.custom.min.js	(from https://forsyth.itslearning.com/)
09:46:39	900330/900330	---MCZ	200	added ('OK')	application/javascript	etag:%22746beb4bef9bd61:0%22	https://statics.itslearning.com/v3.115.0.528/javascript/commonControlLibrary.min.js	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/javascript/commonControlLibrary.min.js	(from https://forsyth.itslearning.com/)
09:46:40	17525/17525	---M--	200	added ('OK')	image/png	etag:%22c09231643efcd51:0%22	https://statics.itslearning.com/v3.115.0.528/Skins/DoNotUse1/its_logo.png	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/Skins/DoNotUse1/its_logo.png	(from https://forsyth.itslearning.com/)
09:46:40	98790/98790	---MC-	302	error ('Found')	text/html	date:Fri,%2023%20Oct%202020%2013:46:40%20GMT	https://forsyth.itslearning.com/welcome.aspx?clean=true&LanguageId=13	C:/My%20Web%20Sites/forsyth/forsyth.itslearning.com/welcome2328.aspx	(from https://forsyth.itslearning.com/)
09:46:40	197/197	---M--	200	added ('OK')	image/png	etag:%2220dcba633efcd51:0%22	https://statics.itslearning.com/v3.115.0.528/icons/xp/federated_login24.png	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/icons/xp/federated_login24.png	(from https://forsyth.itslearning.com/)
09:46:40	3266/3266	---M-Z	200	added ('OK')	text/xml	date:Fri,%2023%20Oct%202020%2013:46:41%20GMT	https://forsyth.itslearning.com/Rss.aspx?Id=0X2174	C:/My%20Web%20Sites/forsyth/forsyth.itslearning.com/Rssc552.aspx	(from https://forsyth.itslearning.com/)
09:46:41	631/631	---M--	200	added ('OK')	image/png	etag:%22d01fa4633efcd51:0%22	https://statics.itslearning.com/v3.115.0.528/icons/xp/RssFeed16.png	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/icons/xp/RssFeed16.png	(from https://forsyth.itslearning.com/)
09:46:41	4262/4262	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2013:46:41%20GMT	https://forsyth.itslearning.com/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/forsyth/forsyth.itslearning.com/cdn-cgi/l/email-protection.html	(from https://forsyth.itslearning.com/)
09:46:41	3538/3538	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2013:46:41%20GMT	https://forsyth.itslearning.com/CleanCookie.aspx	C:/My%20Web%20Sites/forsyth/forsyth.itslearning.com/CleanCookie.html	(from https://forsyth.itslearning.com/)
09:46:41	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f90557b-4d7%22	https://forsyth.itslearning.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/forsyth/forsyth.itslearning.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://forsyth.itslearning.com/)
09:46:41	28404/28404	---M-Z	200	added ('OK')	application/javascript	etag:%225957701ad242d61:0%22	https://statics.itslearning.com/v3.115.0.528/application/Login/index.bundle.js	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/application/Login/index.bundle.js	(from https://forsyth.itslearning.com/)
09:46:42	147083/147083	---M-Z	200	added ('OK')	application/javascript	etag:%224830701ad242d61:0%22	https://statics.itslearning.com/v3.115.0.528/application/Login/index.bundle.es5.js	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/application/Login/index.bundle.es5.js	(from https://forsyth.itslearning.com/)
09:46:42	349444/349444	---MCZ	200	added ('OK')	text/css	etag:%22d843a33af39bd61:0%22	https://statics.itslearning.com/v3.115.0.528/skins/ccl.css	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/skins/ccl.css	(from https://statics.itslearning.com/v3.115.0.528/application/login/index.modern.bundle.css)
09:46:42	8757/8757	---M-Z	200	added ('OK')	text/css	etag:%22a8cef541f39bd61:0%22	https://statics.itslearning.com/v3.115.0.528/skins/JQuery/theme/jquery-ui-1.11.4.custom.css	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/skins/JQuery/theme/jquery-ui-1.11.4.custom.css	(from https://statics.itslearning.com/v3.115.0.528/application/login/index.modern.bundle.css)
09:46:42	135/135	---M--	200	added ('OK')	image/png	etag:%22e0829a633efcd51:0%22	https://statics.itslearning.com/v3.115.0.528/icons/dropdown_arrow_big.png	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/icons/dropdown_arrow_big.png	(from https://statics.itslearning.com/v3.115.0.528/application/login/index.modern.bundle.css)
09:46:42	1638/1638	---M--	200	added ('OK')	image/png	etag:%22d07be8633efcd51:0%22	https://statics.itslearning.com/v3.115.0.528/images/downtime_gears.png	C:/My%20Web%20Sites/forsyth/statics.itslearning.com/v3.115.0.528/images/downtime_gears.png	(from https://statics.itslearning.com/v3.115.0.528/application/login/index.modern.bundle.css)
